as_of_date,ticker,contract_type,strike_price,expiration_date,VIX_close,close,imp_vol,delta,gamma,theta,vega,open,high,low,volume
2024-06-03,O:VIX240717C00036000,call,36.0,2024-07-17,13.109999656677246,0.19,1.6462043148040773,0.07035934465329002,0.01798938545610272,-4.218767207360004,0.006135715806413072,0.19,0.19,0.19,25000.0
2024-06-03,O:VIX240717C00037000,call,37.0,2024-07-17,13.109999656677246,,5.0,0.6076177566308578,0.01688729227647532,-36.38635621499976,0.01749424470322656,,,,
2024-06-03,O:VIX240717C00038000,call,38.0,2024-07-17,13.109999656677246,,5.0,0.6017014394888772,0.016956292049366883,-36.534307347587784,0.017565724422513095,,,,
2024-06-03,O:VIX240717C00039000,call,39.0,2024-07-17,13.109999656677246,0.16,1.6879171951293945,0.059499057667893596,0.015403132892746571,-3.796062962984355,0.00538673204166601,0.16,0.16,0.16,1.0
2024-06-03,O:VIX240717C00040000,call,40.0,2024-07-17,13.109999656677246,0.16,1.716946460723877,0.058778448448981446,0.01499867395498919,-3.824057434619713,0.005335495892725612,0.16,0.17,0.15,2453.0
2024-06-03,O:VIX240717C00042500,call,42.5,2024-07-17,13.109999656677246,0.15,1.7663458023071286,0.05443623491278132,0.01372372790512263,-3.7021321000518777,0.0050224197032584525,0.13,0.15,0.13,232.0
2024-06-03,O:VIX240717C00045000,call,45.0,2024-07-17,13.109999656677246,0.14,1.8093747268676759,0.05035955787354668,0.012594425017248102,-3.5641315613088587,0.004721413501602015,0.11,0.14,0.11,936.0
2024-06-03,O:VIX240717C00047500,call,47.5,2024-07-17,13.109999656677246,0.11,1.7990371040344235,0.04084460375180354,0.010703375522149226,-2.994001955879782,0.0039895696907944365,0.11,0.11,0.11,50.0
2024-06-03,O:VIX240717C00050000,call,50.0,2024-07-17,13.109999656677246,0.11,1.853471745300293,0.03997968443442057,0.010210035766166293,-3.0307827252377018,0.003920833552996131,0.11,0.11,0.11,31.0
2024-06-03,O:VIX240717C00055000,call,55.0,2024-07-17,13.109999656677246,,5.0,0.5178529743620877,0.01751145847853114,-37.72102801627905,0.01814084429394124,,,,
2024-06-03,O:VIX240717C00060000,call,60.0,2024-07-17,13.109999656677246,0.09,1.9854194847106932,0.03181550994562243,0.007904280531937318,-2.6906629908680113,0.003251470348196961,0.09,0.09,0.08,225.0
2024-06-03,O:VIX240717C00065000,call,65.0,2024-07-17,13.109999656677246,,5.0,0.47947807227847566,0.017505816077329803,-37.70507449934724,0.018134999097108383,,,,
2024-06-03,O:VIX240717C00070000,call,70.0,2024-07-17,13.109999656677246,,5.0,0.46249402516830146,0.017451490822595887,-37.58646784179815,0.018078721318272033,,,,
2024-06-03,O:VIX240717C00075000,call,75.0,2024-07-17,13.109999656677246,,5.0,0.4467428504186096,0.017372586971255134,-37.41508933902227,0.017996981554384308,,,,
2024-06-03,O:VIX240717C00080000,call,80.0,2024-07-17,13.109999656677246,,5.0,0.43208380054510176,0.017274383898739632,-37.20228906322432,0.01789524892886517,,,,
2024-06-03,O:VIX240717C00085000,call,85.0,2024-07-17,13.109999656677246,,5.0,0.41839802134002746,0.01716102415220201,-36.956971716997536,0.01777781487768886,,,,
2024-06-03,O:VIX240717C00090000,call,90.0,2024-07-17,13.109999656677246,,5.0,0.40558428528024454,0.017035788417189335,-36.68618830730473,0.017648077998736855,,,,
2024-06-03,O:VIX240717C00095000,call,95.0,2024-07-17,13.109999656677246,,5.0,0.39355571277439916,0.016901295619830118,-36.39556668165326,0.017508751345931706,,,,
2024-06-03,O:VIX240717C00100000,call,100.0,2024-07-17,13.109999656677246,,5.0,0.38223721909260683,0.016759650811205156,-36.08962968236713,0.017362015628774805,,,,
2024-06-03,O:VIX240717C00110000,call,110.0,2024-07-17,13.109999656677246,,5.0,0.36147744209092003,0.016461394087828093,-35.44574854913067,0.017053039150028742,,,,
2024-06-03,O:VIX240717C00120000,call,120.0,2024-07-17,13.109999656677246,,5.0,0.34287321615200705,0.016151178398648346,-34.77636548187804,0.01673167388386049,,,,
2024-06-03,O:VIX240717C00130000,call,130.0,2024-07-17,13.109999656677246,,5.0,0.326087859314417,0.015835802824345657,-34.09607654545855,0.016404963279226872,,,,
2024-06-03,O:VIX240717C00140000,call,140.0,2024-07-17,13.109999656677246,,5.0,0.3108541780610272,0.015519860659831042,-33.41473760460034,0.016077665720352664,,,,
2024-06-03,O:VIX240717C00150000,call,150.0,2024-07-17,13.109999656677246,,5.0,0.29695690343958825,0.01520646520555034,-32.73902479170301,0.01575300640396818,,,,
2024-06-03,O:VIX240717C00160000,call,160.0,2024-07-17,13.109999656677246,,5.0,0.2842203082518278,0.014897718751608655,-32.073442662906906,0.015433163179365881,,,,
2024-06-03,O:VIX240717C00170000,call,170.0,2024-07-17,13.109999656677246,,5.0,0.27249927869486595,0.014595022922929354,-31.42099121971405,0.015119588047789673,,,,
2024-06-03,O:VIX240717C00180000,call,180.0,2024-07-17,13.109999656677246,,5.0,0.26167274910392224,0.014299288254526789,-30.78361626693495,0.014813224270130116,,,,
2024-06-03,O:VIX240717P00010000,put,10.0,2024-07-17,13.109999656677246,,5.0,-0.15226602898824604,0.01034741007049984,-21.927487047766398,0.010719310168517862,,,,
2024-06-03,O:VIX240717P00010500,put,10.5,2024-07-17,13.109999656677246,0.01,0.3206807464599609,-0.018180667502678105,0.03058670939002612,-0.2603710470929713,0.002032220440647632,0.01,0.01,0.01,2.0
2024-06-03,O:VIX240717P00011000,put,11.0,2024-07-17,13.109999656677246,0.03,0.3216344017028808,-0.04741916459449924,0.06752519624637009,-0.5742302064785155,0.00449980321826544,0.02,0.03,0.02,78.0
2024-06-03,O:VIX240717P00011500,put,11.5,2024-07-17,13.109999656677246,0.05,0.2892864158630371,-0.08034322610572364,0.11326795572775321,-0.7704571347907058,0.006788913509895479,0.05,0.05,0.04,22.0
2024-06-03,O:VIX240717P00012000,put,12.0,2024-07-17,13.109999656677246,0.11,0.28064629936218266,-0.15717624439852895,0.18825652318109126,-1.1873953365309888,0.010946480966195462,0.16,0.16,0.1,1443.0
2024-06-03,O:VIX240717P00012500,put,12.5,2024-07-17,13.109999656677246,0.27,0.30551762809753413,-0.2919590501179321,0.2469217755919198,-1.8167446497793198,0.01563006692720411,0.28,0.3,0.21,1277.0
2024-06-03,O:VIX240717P00013000,put,13.0,2024-07-17,13.109999656677246,0.46,0.3005395477294922,-0.4289167827783422,0.28698415714897474,-1.9842724613602714,0.01787000703668902,0.51,0.51,0.36,3149.0
